obs,conductivity_millisiemens,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,density,density_qc_executed,density_qc_results,deployment,dpc_ctd_seawater_conductivity,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,practical_salinity,practical_salinity_qc_executed,practical_salinity_qc_results,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,raw_time_microseconds,raw_time_seconds,temp,temp_qc_executed,temp_qc_results,time
"('31',)",33.1567993164,1,0,1029.25132005,29,29,1,3.31567993164,29,29,3724598710.13,3724598710.31,3617697937.58,44.36831,-124.95276,0.0,34.1039335191,29,29,internal_timestamp,501.059997559,29,29,580959,1408709137,5.28310012817,29,29,3617697937.58
"('32',)",33.1697006226,1,0,1029.23712591,29,29,1,3.31697006226,29,29,3724598710.13,3724598710.31,3617697947.59,44.36831,-124.95276,0.0,34.1018397227,29,29,internal_timestamp,498.829986572,29,29,593009,1408709147,5.30079984665,29,29,3617697947.59
"('33',)",33.1679000854,1,0,1029.22732118,29,29,1,3.31679000854,29,29,3724598710.13,3724598710.31,3617697957.61,44.36831,-124.95276,0.0,34.1025559954,29,29,internal_timestamp,496.529998779,29,29,608673,1408709157,5.29920005798,29,29,3617697957.61
"('34',)",33.1790008545,1,0,1029.21598359,29,29,1,3.31790008545,29,29,3724598710.13,3724598710.31,3617697966.76,44.36831,-124.95276,0.0,34.1024808706,29,29,internal_timestamp,494.459991455,29,29,762715,1408709166,5.31279993057,29,29,3617697966.76
"('35',)",33.2341003418,1,0,1029.19356733,29,29,1,3.32341003418,29,29,3724598710.13,3724598710.31,3617697977.58,44.36831,-124.95276,0.0,34.1000815531,29,29,internal_timestamp,491.850006104,29,29,580034,1408709177,5.37849998474,29,29,3617697977.58
"('36',)",33.2519989014,1,0,1029.17608425,29,29,1,3.32519989014,29,29,3724598710.13,3724598710.31,3617697987.63,44.36831,-124.95276,0.0,34.0967360596,29,29,internal_timestamp,489.320007324,29,29,627891,1408709187,5.40320014954,29,29,3617697987.63
"('37',)",33.2491989136,1,0,1029.16576116,29,29,1,3.32491989136,29,29,3724598710.13,3724598710.31,3617697997.61,44.36831,-124.95276,0.0,34.0978408586,29,29,internal_timestamp,486.799987793,29,29,612689,1408709197,5.40019989014,29,29,3617697997.61
"('38',)",33.2472000122,1,0,1029.1550644,29,29,1,3.32472000122,29,29,3724598710.13,3724598710.31,3617698006.58,44.36831,-124.95276,0.0,34.0972942546,29,29,internal_timestamp,484.549987793,29,29,578619,1408709206,5.39960002899,29,29,3617698006.58
"('39',)",33.2498016357,1,0,1029.14227715,29,29,1,3.32498016357,29,29,3724598710.13,3724598710.31,3617698017.59,44.36831,-124.95276,0.0,34.0967792205,29,29,internal_timestamp,481.989990234,29,29,585858,1408709217,5.40430021286,29,29,3617698017.59
"('40',)",33.2490997314,1,0,1029.13168047,29,29,1,3.32490997314,29,29,3724598710.13,3724598710.31,3617698027.63,44.36831,-124.95276,0.0,34.0960413926,29,29,internal_timestamp,479.839996338,29,29,625843,1408709227,5.40530014038,29,29,3617698027.63
"('41',)",33.2543983459,1,0,1029.12100591,29,29,1,3.32543983459,29,29,3724598710.13,3724598710.31,3617698037.62,44.36831,-124.95276,0.0,34.0962789319,29,29,internal_timestamp,477.670013428,29,29,617854,1408709237,5.41209983826,29,29,3617698037.62
"('42',)",33.2554016113,1,0,1029.10952284,29,29,1,3.32554016113,29,29,3724598710.13,3724598710.31,3617698047.59,44.36831,-124.95276,0.0,34.0964237424,29,29,internal_timestamp,475.209991455,29,29,588103,1408709247,5.4142999649,29,29,3617698047.59
"('43',)",33.2594985962,1,0,1029.09824243,29,29,1,3.32594985962,29,29,3724598710.13,3724598710.31,3617698057.6,44.36831,-124.95276,0.0,34.0964701376,29,29,internal_timestamp,472.910003662,29,29,600658,1408709257,5.42000007629,29,29,3617698057.6
"('44',)",33.2667999268,1,0,1029.08299131,29,29,1,3.32667999268,29,29,3724598710.13,3724598710.31,3617698067.6,44.36831,-124.95276,0.0,34.0934608354,29,29,internal_timestamp,470.459991455,29,29,601010,1408709267,5.43240022659,29,29,3617698067.6
"('45',)",33.2811012268,1,0,1029.06750945,29,29,1,3.32811012268,29,29,3724598710.13,3724598710.31,3617698077.62,44.36831,-124.95276,0.0,34.0911163852,29,29,internal_timestamp,468.049987793,29,29,618860,1408709277,5.45200014114,29,29,3617698077.62
"('46',)",33.2869987488,1,0,1029.05516243,29,29,1,3.32869987488,29,29,3724598710.13,3724598710.32,3617698087.6,44.36831,-124.95276,0.0,34.0909495591,29,29,internal_timestamp,465.619995117,29,29,598063,1408709287,5.46000003815,29,29,3617698087.6
"('47',)",33.3182983398,1,0,1029.04081298,29,29,1,3.33182983398,29,29,3724598710.13,3724598710.32,3617698097.61,44.36831,-124.95276,0.0,34.0925645308,29,29,internal_timestamp,463.209991455,29,29,608875,1408709297,5.49480009079,29,29,3617698097.61
"('48',)",33.3310012817,1,0,1029.02677745,29,29,1,3.33310012817,29,29,3724598710.13,3724598710.32,3617698107.6,44.36831,-124.95276,0.0,34.0917510084,29,29,internal_timestamp,460.760009766,29,29,604626,1408709307,5.51109981537,29,29,3617698107.6
"('49',)",33.32970047,1,0,1029.01309462,29,29,1,3.332970047,29,29,3724598710.13,3724598710.32,3617698117.59,44.36831,-124.95276,0.0,34.0886209402,29,29,internal_timestamp,458.399993896,29,29,592704,1408709317,5.51389980316,29,29,3617698117.59
"('50',)",33.3101997375,1,0,1029.00435361,29,29,1,3.33101997375,29,29,3724598710.13,3724598710.32,3617698127.61,44.36831,-124.95276,0.0,34.0870484747,29,29,internal_timestamp,456.220001221,29,29,608277,1408709327,5.49459981918,29,29,3617698127.61
"('51',)",33.2967987061,1,0,1028.99429257,29,29,1,3.32967987061,29,29,3724598710.13,3724598710.32,3617698137.62,44.36831,-124.95276,0.0,34.0843572124,29,29,internal_timestamp,454.170013428,29,29,623857,1408709337,5.48320007324,29,29,3617698137.62
"('52',)",33.3255004883,1,0,1028.98202648,29,29,1,3.33255004883,29,29,3724598710.13,3724598710.32,3617698147.62,44.36831,-124.95276,0.0,34.0857436712,29,29,internal_timestamp,452.170013428,29,29,620908,1408709347,5.51510000229,29,29,3617698147.62
"('53',)",33.3432006836,1,0,1028.96941061,29,29,1,3.33432006836,29,29,3724598710.13,3724598710.32,3617698157.64,44.36831,-124.95276,0.0,34.0857042077,29,29,internal_timestamp,450.029998779,29,29,642482,1408709357,5.53609991074,29,29,3617698157.64
